,Date,Open,High,Low,Close,Volume,Adj Close,Up or Down,100da,40da,20da
504,6/27/2012,31.9,32.450001,31.57,31.959999,1047200,31.959999,1.0,32.66870007000002,30.59074985,30.494499899999994
505,6/28/2012,31.9,32.110001000000004,30.620001000000002,31.41,914100,31.41,-1.0,32.66480008000002,30.527499875000007,30.58999989999999
506,6/29/2012,32.799999,32.799999,31.0,31.290001,1125800,31.290001,-1.0,32.66170009000002,30.49824992500001,30.746999949999992
507,7/2/2012,31.35,31.799999,30.190001000000002,30.4,1315600,30.4,-1.0,32.64640009000002,30.462499925000014,30.87299999999999
508,7/3/2012,30.6,31.0,30.4,30.66,947000,30.66,1.0,32.627200070000015,30.41724990000002,31.01049999999999
509,7/5/2012,30.809998999999998,31.67,30.799999,31.23,1253800,31.23,1.0,32.628500070000015,30.44324987500002,31.11100004999999
510,7/6/2012,30.99,31.73,30.799999,30.99,784500,30.99,,32.62350007000002,30.46649990000002,31.214000049999992
511,7/9/2012,30.940001000000002,31.83,30.67,31.49,910500,31.49,1.0,32.60670009000002,30.42974992500002,31.28450004999999
512,7/10/2012,31.540001,32.48,30.889999,31.27,758400,31.27,-1.0,32.583400110000014,30.40524992500002,31.39199999999999
513,7/11/2012,31.57,31.68,31.01,31.51,638600,31.51,-1.0,32.55670011000002,30.44149995000002,31.48449999999999
514,7/12/2012,31.290001,33.009997999999996,30.799999,32.700001,1125700,32.700001,1.0,32.53400011000002,30.523249975000017,31.631000049999994
515,7/13/2012,32.970001,34.400002,32.830002,34.25,1304800,34.25,1.0,32.53150011000002,30.649999975000014,31.874000099999996
516,7/16/2012,34.32,36.0,33.900002,35.959998999999996,1744000,35.959998999999996,1.0,32.54890009000002,30.834749950000013,32.17650005
517,7/17/2012,35.0,35.209998999999996,32.380001,33.349998,2569300,33.349998,-1.0,32.53710008000002,30.97949992500001,32.25199995
518,7/18/2012,31.42,33.669998,31.059998999999998,32.150002,2881900,32.150002,1.0,32.52110010000002,31.063999975000012,32.25500004999999
519,7/19/2012,32.720001,33.150002,32.040001000000004,32.27,1435900,32.27,-1.0,32.50760011000002,31.100750000000012,32.1795001
520,7/20/2012,32.07,32.25,31.25,31.790001,1568500,31.790001,-1.0,32.487400110000024,31.120000025000014,32.15950019999999
521,7/23/2012,31.049999,31.299999,30.620001000000002,30.66,1386800,30.66,-1.0,32.45990011000002,31.129500000000014,32.00300014999999
522,7/24/2012,30.66,31.040001,29.620001000000002,29.84,1500300,29.84,-1.0,32.414200110000024,31.13025002500001,31.83950009999999
523,7/25/2012,29.92,29.98,28.75,28.950001,2842200,28.950001,-1.0,32.363300110000026,31.06175002500001,31.706500099999992
524,7/26/2012,29.9,30.0,27.639999,28.129998999999998,2262300,28.129998999999998,-1.0,32.30690010000003,31.00475000000001,31.51500009999999
