Date,Open,High,Low,Close,Adj Close,Volume,300ma,100ma,40ma,20ma
2017-06-23,4.48,4.54,4.45,4.5,4.5,2621900,5.567833333333332,5.455099999999998,5.0322499999999994,4.862
2017-06-26,4.52,4.57,4.46,4.56,4.56,2525400,5.559504132231403,5.438899999999998,5.013999999999999,4.825000000000001
2017-06-27,4.58,4.68,4.57,4.67,4.67,2523000,5.552213114754097,5.423599999999997,4.999999999999999,4.795000000000001
2017-06-28,4.65,4.73,4.6,4.71,4.71,2362000,5.545365853658535,5.408599999999996,4.991,4.775500000000001
2017-06-29,4.75,4.8,4.69,4.71,4.71,5217500,5.538629032258063,5.394599999999997,4.98125,4.758000000000001
2017-06-30,4.77,4.86,4.74,4.86,4.86,2294300,5.533199999999999,5.382899999999998,4.9822500000000005,4.7490000000000006
2017-07-03,4.89,4.93,4.88,4.9,4.9,1983100,5.528174603174602,5.371599999999997,4.981250000000001,4.744000000000001
2017-07-05,4.89,4.89,4.68,4.71,4.71,6437500,5.521732283464566,5.357699999999998,4.975250000000001,4.7235
2017-07-06,4.81,4.88,4.66,4.67,4.67,6666500,5.515078124999999,5.342499999999997,4.969000000000001,4.715999999999999
2017-07-07,4.6,4.61,4.5,4.59,4.59,4305300,5.507906976744185,5.327499999999997,4.956000000000001,4.704
2017-07-10,4.54,4.65,4.53,4.61,4.61,1549500,5.5009999999999994,5.312399999999997,4.942000000000002,4.6915
2017-07-11,4.58,4.71,4.57,4.68,4.68,2094400,5.49473282442748,5.298199999999996,4.929500000000002,4.6819999999999995
2017-07-12,4.83,4.85,4.67,4.7,4.7,4392600,5.48871212121212,5.283799999999997,4.915000000000001,4.670999999999999
2017-07-13,4.73,4.83,4.73,4.79,4.79,2223200,5.4834586466165405,5.270499999999996,4.9037500000000005,4.6739999999999995
2017-07-14,4.83,4.89,4.82,4.88,4.88,2256800,5.478955223880596,5.257299999999995,4.894250000000001,4.682999999999999
2017-07-17,4.85,4.89,4.77,4.77,4.77,1523800,5.473703703703702,5.243999999999995,4.881500000000001,4.683499999999999
2017-07-18,4.87,4.88,4.78,4.84,4.84,1474200,5.469044117647058,5.230399999999995,4.866000000000001,4.690999999999999
2017-07-19,4.84,4.94,4.84,4.92,4.92,2486500,5.465036496350364,5.218099999999995,4.851750000000001,4.703499999999999
2017-07-20,4.97,4.99,4.87,4.92,4.92,4593100,5.461086956521737,5.205699999999995,4.83575,4.722999999999999
2017-07-21,4.89,4.89,4.73,4.75,4.75,1921100,5.455971223021581,5.191799999999995,4.816000000000001,4.736999999999999
2017-07-24,4.83,4.85,4.81,4.82,4.82,1008200,5.45142857142857,5.178999999999995,4.8075,4.752999999999998
2017-07-25,4.94,5.0,4.9,4.99,4.99,3745900,5.4481560283687935,5.169099999999995,4.79975,4.774499999999998
2017-07-26,5.05,5.12,4.98,5.08,5.08,6605600,5.44556338028169,5.159399999999996,4.795,4.794999999999998
2017-07-27,5.12,5.18,5.07,5.15,5.15,4418600,5.443496503496503,5.150399999999996,4.796250000000001,4.816999999999998
2017-07-28,5.18,5.26,5.17,5.23,5.23,4168700,5.442013888888888,5.1424999999999965,4.8005,4.842999999999999
2017-07-31,5.22,5.34,5.17,5.33,5.33,3780100,5.441241379310344,5.139699999999997,4.80775,4.866499999999999
2017-08-01,5.25,5.27,5.06,5.17,5.17,2602200,5.439383561643835,5.136199999999997,4.812,4.879999999999999
2017-08-02,5.17,5.25,5.1,5.22,5.22,1636100,5.437891156462585,5.1348999999999965,4.814500000000001,4.905499999999999
2017-08-03,5.26,5.28,5.12,5.13,5.13,3494400,5.43581081081081,5.132799999999996,4.82225,4.928499999999999
2017-08-04,5.14,5.24,5.1,5.2,5.2,1944600,5.434228187919462,5.132099999999997,4.8315,4.958999999999999
2017-08-07,5.14,5.21,5.08,5.2,5.2,1889000,5.432666666666666,5.130199999999998,4.839999999999999,4.988499999999999
2017-08-08,5.14,5.24,5.13,5.17,5.17,1543900,5.430927152317881,5.1279999999999974,4.847499999999998,5.013
2017-08-09,5.21,5.23,5.15,5.23,5.23,1873200,5.429605263157894,5.126599999999997,4.855249999999999,5.039499999999999
2017-08-10,5.29,5.3,5.08,5.09,5.09,3588700,5.427385620915032,5.124199999999997,4.864249999999999,5.054499999999999
